time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-10T03:34:20.220Z,16.4099,-87.2215,10,4.7,mb,,35,2.339,1.26,us,us200063d3,2016-08-25T01:22:49.040Z,70km W of Sandy Bay  Honduras,earthquake,6.7,1.9,0.09,38,reviewed,us,us
2016-05-10T07:33:20.440Z,14.7644,-87.6234,14.33,4,md,,74,0.78,1.32,us,us10005hnz,2016-07-20T18:10:51.040Z,1km NNW of La Libertad  Honduras,earthquake,5.1,9.4,,,reviewed,us,snet
2016-05-08T14:00:57.870Z,14.6991,-87.6197,18.95,4,mb,,99,0.721,0.75,us,us200062iv,2016-07-20T18:10:48.040Z,3km W of Jamalteca  Honduras,earthquake,3.7,7.3,0.231,5,reviewed,us,us
2016-04-30T20:16:55.640Z,13.0897,-89.223,44.09,4,mb,,189,0.593,0.97,us,us10005j36,2016-07-19T20:03:07.040Z,45km SSE of La Libertad  El Salvador,earthquake,9.2,12.3,0.299,3,reviewed,us,us
2016-04-22T08:54:28.150Z,14.8079,-87.6185,9.23,4.3,mwr,,70,0.818,0.91,us,us20005ktb,2016-07-08T02:49:17.040Z,6km N of La Libertad  Honduras,earthquake,7,4.7,0.063,24,reviewed,us,us
2016-04-20T20:13:00.880Z,12.9312,-88.7384,59.43,4.5,mb,,79,0.891,1.13,us,us20005k9e,2016-06-27T23:02:29.040Z,43km SSW of Puerto El Triunfo  El Salvador,earthquake,7.4,6.1,0.044,152,reviewed,us,us
2016-03-23T01:12:47.240Z,13.2921,-89.0994,66.79,4.2,mb,,115,0.412,1.24,us,us20005bxt,2016-06-09T21:41:57.040Z,23km SSW of El Rosario  El Salvador,earthquake,6.9,6.6,0.078,46,reviewed,us,us
2016-03-12T06:31:42.930Z,13.3094,-89.1159,43.87,4,mb,,184,0.391,0.98,us,us20005g0x,2016-05-21T00:05:26.040Z,22km SSW of El Rosario  El Salvador,earthquake,8.3,8,0.365,2,reviewed,us,us
2016-03-01T01:08:43.010Z,13.0839,-88.8191,59.53,5.1,mwr,,69,0.721,0.82,us,us10004tqy,2016-05-06T23:34:20.040Z,36km SW of Puerto El Triunfo  El Salvador,earthquake,3.4,4.8,0.058,29,reviewed,us,us
2016-02-19T04:42:38.920Z,13.8074,-88.8387,201.31,5,mb,,64,0.4,0.94,us,us10004qz4,2016-05-03T23:44:11.040Z,8km ENE of San Martin  El Salvador,earthquake,7.6,5.4,0.031,338,reviewed,us,us
2016-02-18T04:45:56.000Z,13.1003,-88.6707,69.87,4.3,mb,,169,0.798,0.62,us,us10004rqq,2016-04-26T23:28:26.040Z,24km SSW of Puerto El Triunfo  El Salvador,earthquake,5.4,9.2,0.122,19,reviewed,us,us
2016-02-11T01:04:43.610Z,13.06,-88.8526,63.11,4.4,mb,,88,0.724,0.84,us,us20004zf5,2016-04-19T01:33:29.040Z,40km SW of Jiquilisco  El Salvador,earthquake,7.1,6,0.061,77,reviewed,us,us
2015-12-10T01:43:32.760Z,13.0939,-89.2215,53.63,4.1,mb,,185,0.589,0.9,us,us20004h8h,2016-03-05T01:41:59.040Z,44km SSE of La Libertad  El Salvador,earthquake,8.1,8.2,0.174,9,reviewed,us,us
2015-12-06T08:26:24.310Z,13.2274,-87.7536,180.34,4.4,mb,,143,0.865,0.82,us,us20004fxt,2016-03-02T03:36:34.040Z,12km WSW of Amapala  Honduras,earthquake,7.9,7.3,0.073,54,reviewed,us,us
2015-12-04T16:29:26.240Z,13.106,-89.1304,37.02,4,md,,220,0.585,0.68,us,us10004alh,2016-03-02T03:36:31.040Z,44km SSW of El Rosario  El Salvador,earthquake,5,73.6,,,reviewed,us,snet
2015-11-27T11:46:27.180Z,13.0906,-88.9476,52,5.6,mww,,43,0.653,1.07,us,us100041q5,2016-11-10T22:02:24.747Z,45km S of El Rosario  El Salvador,earthquake,6.3,1.9,,,reviewed,us,us
2015-11-20T01:49:19.170Z,16.5632,-87.1467,24.84,4.2,mb,,140,2.494,1.14,us,us100040dz,2016-02-18T04:48:45.040Z,67km WNW of Sandy Bay  Honduras,earthquake,9.6,4,0.09,34,reviewed,us,us
